Vertices,Edge %,Chromatic Number,Exec Time,Precision
120,892 (12.5%),8,83.6759,
120,1785 (25%),12,124.1069,
120,3570 (50%),22,201.3404,
120,5355 (75%),35,279.0620,
121,907 (12.5%),8,84.1849,
121,1815 (25%),13,123.8472,
121,3630 (50%),22,204.4742,
121,5445 (75%),36,286.7815,
122,922 (12.5%),8,86.0021,
122,1845 (25%),13,125.3781,
122,3690 (50%),22,206.0418,
122,5535 (75%),36,286.6497,
123,937 (12.5%),8,85.9704,
123,1875 (25%),13,127.4889,
123,3751 (50%),22,210.0558,
123,5627 (75%),36,293.7050,
124,953 (12.5%),8,88.2132,
124,1906 (25%),13,129.5331,
124,3813 (50%),22,211.5059,
124,5719 (75%),36,296.7877,
125,968 (12.5%),8,88.6981,
125,1937 (25%),13,132.7009,
125,3875 (50%),23,216.3725,
125,5812 (75%),36,301.8014,
126,984 (12.5%),8,89.6723,
126,1968 (25%),12,132.5865,
126,3937 (50%),22,217.6948,
126,5906 (75%),36,305.3632,
127,1000 (12.5%),8,90.4319,
127,2000 (25%),13,135.5267,
127,4000 (50%),23,220.9854,
127,6000 (75%),35,309.9570,
128,1016 (12.5%),8,91.6700,
128,2032 (25%),13,135.8569,
128,4064 (50%),22,222.2600,
128,6096 (75%),37,314.0290,
129,1032 (12.5%),8,92.0877,
129,2064 (25%),13,139.1299,
129,4128 (50%),23,226.7630,
129,6192 (75%),38,323.8358,
130,1048 (12.5%),8,95.2549,
130,2096 (25%),13,140.5580,
130,4192 (50%),23,230.0217,
130,6288 (75%),37,324.2483,
131,1064 (12.5%),8,95.3503,
131,2128 (25%),13,140.3809,
131,4257 (50%),23,234.5786,
131,6386 (75%),38,328.5284,
132,1080 (12.5%),8,95.2842,
132,2161 (25%),13,143.4660,
132,4323 (50%),23,237.0460,
132,6484 (75%),38,336.0319,
133,1097 (12.5%),8,96.8258,
133,2194 (25%),13,145.2193,
133,4389 (50%),24,240.5641,
133,6583 (75%),39,335.4142,
134,1113 (12.5%),9,99.2966,
134,2227 (25%),14,147.1853,
134,4455 (50%),24,245.0027,
134,6683 (75%),39,342.4108,
135,1130 (12.5%),8,99.2658,
135,2261 (25%),13,149.1194,
135,4522 (50%),24,247.7632,
