Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
127,4000 (50%),24,0.4585,1331,127,
127,6000 (75%),37,0.6523,2111,127,
128,1016 (12.5%),9,0.1996,385,128,
128,2032 (25%),13,0.2708,662,128,
128,4064 (50%),24,0.4680,1337,128,
128,6096 (75%),39,0.6726,2253,128,
129,1032 (12.5%),9,0.1881,399,129,
129,2064 (25%),14,0.2627,690,129,
129,4128 (50%),24,0.4601,1302,129,
129,6192 (75%),41,0.6771,2402,129,
130,1048 (12.5%),9,0.1831,410,130,
130,2096 (25%),14,0.2708,717,130,
130,4192 (50%),23,0.4394,1288,130,
130,6288 (75%),40,0.6430,2230,130,
131,1064 (12.5%),9,0.1869,399,131,
131,2128 (25%),13,0.2871,702,131,
131,4257 (50%),25,0.4539,1383,131,
131,6386 (75%),40,0.6745,2302,131,
132,1080 (12.5%),8,0.1831,411,132,
132,2161 (25%),13,0.2940,679,132,
132,4323 (50%),25,0.5052,1441,132,
132,6484 (75%),41,0.6785,2380,132,
133,1097 (12.5%),9,0.1860,397,133,
133,2194 (25%),15,0.2961,717,133,
133,4389 (50%),25,0.5021,1401,133,
133,6583 (75%),39,0.7010,2329,133,
134,1113 (12.5%),9,0.1895,435,134,
134,2227 (25%),13,0.3018,681,134,
134,4455 (50%),26,1.8234,1475,134,
134,6683 (75%),39,0.7272,2478,134,
135,1130 (12.5%),9,0.1903,417,135,
135,2261 (25%),14,0.2966,726,135,
135,4522 (50%),25,0.5274,1535,135,
135,6783 (75%),39,0.6709,2312,135,
136,1147 (12.5%),9,0.2024,394,136,
136,2295 (25%),13,0.3099,730,136,
136,4590 (50%),24,0.5357,1385,136,
136,6885 (75%),40,0.7069,2458,136,
137,1164 (12.5%),9,0.1979,437,137,
137,2329 (25%),14,0.3049,764,137,
137,4658 (50%),23,0.4961,1437,137,
137,6987 (75%),41,0.7617,2547,137,
138,1181 (12.5%),9,0.1919,438,138,
138,2363 (25%),14,0.3104,752,138,
138,4726 (50%),25,0.5126,1467,138,
138,7089 (75%),41,2.7766,2627,138,
139,1198 (12.5%),9,0.2513,455,139,
139,2397 (25%),13,0.3514,759,139,
139,4795 (50%),26,0.5419,1516,139,
139,7193 (75%),41,0.7758,2539,139,
140,1216 (12.5%),9,0.2010,449,140,
140,2432 (25%),15,0.3357,772,140,
140,4865 (50%),25,0.5419,1485,140,
140,7297 (75%),39,0.7813,2512,140,
141,1233 (12.5%),10,0.2122,460,141,
141,2467 (25%),14,0.3123,796,141,
141,4935 (50%),26,0.5577,1541,141,
141,7402 (75%),43,0.7930,2684,141,
142,1251 (12.5%),9,0.2122,453,142,
142,2502 (25%),14,0.3333,820,142,
142,5005 (50%),24,0.5651,1510,142,
